,,,,,,,,,
,21 / 04 / 2026,~ 315,"🏡 Ajout Louyang
✨ Ajout stuff ""Louyang""
⚔️ Ajout MvP White lady
",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218356,,,,,
,,,"🏡 Ajout Ayotaya
✨ Ajout stuff Ayotaya ""Ying""
⚔️ Ajout MvP Lady Tanee",哎喲泰雅,,,,,
,05 / 05 / 2026,~ 330,"⚔️ Training ground
🛡️ Armes double star (vague 2)
",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218386,,,,,
,,,"✨ New map Geffen field
✨ Ajout stuff ""desert""",《RO仙境傳說Online：樂園》從「心」出發！,,,,,
,,,"💎 Rune system (stats bonus hors équipement)
",符文石碑,,,,,
,18 / 05 / 2026,~ 345,"🏡 Ajout Amatsu
✨ Ajout stuff Amatsu ""Yang""
⚔️ Ajout MvP Samurai specter",天水之國- 天津,,,,,
,,,"📅 Event colab [Kumamon] (costumes bonus
stats pendant l'event + conso)",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218426,,,,,
,,,"👑 Ajout classe Ninja
",《RO仙境傳說Online：樂園》天津、忍者襲來！,,,,,
,,,"✨ Stuff ninja
⚙️ Relic system (frostflame)",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218430,,,,,
,02 / 06 / 2026,~ 360,"⚔️ Ajout MvP Mistress
",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218464,,,,,
,,,"👥 Fusion des serveurs TwRo
",伺服器合併說明,,,,,
,30 / 06 / 2026,~ 385,"👑 Lvl 110 / 70 et table xp réduite
👥 Character slot gratuit 5 -> 6 (+3 max CS)
✨ Main story episode 1-3",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218530,,,,,
,,,🛡️ Ajout godly item et quêtes associées,https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218518,,,,,
,,,"📅 Event [Summer festival 2] (costume + conso)
(idem que le premier)",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218519,,,,,
,,,"🏡 Ajout Yuno
✨ Ajout Magma dj
✨ Ajout Juperos et ⚔️ MvP Vesper
",賢者之都-朱諾,,,,,
,07 / 07 / 2026,~ 390,🎂 Cadeau anniversaire (cosmetiques),https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218600,,,,,
,,,📅 Event anniversaire,活動一、樂園週年起始之地,,,,,
,,,"🏡 Ajout Hugel
⚔️ Ajout Odin Temple et MVP Valkyrie",,,,,,
